password_label,hash_algorithm,number_of_workers,controller_side_parsing_time_ms,job_dispatch_registration_overhead_ms,work_assignment_overhead_total_ms,work_assignment_overhead_per_unit_ns,worker_cracking_time_ms,result_return_latency_ms,checkpoint_overhead_ms,checkpoint_impact_pct,total_end_to_end_runtime_ms,controller_overhead_ms,networking_overhead_ms,combined_overhead_ms,heartbeat_observation_count,heartbeat_avg_interval_metric_ms,checkpoint_observation_count,checkpoint_avg_ms,checkpoint_min_ms,checkpoint_max_ms,run_label,serial_fraction_estimate,predicted_runtime_5_workers_ms,measured_runtime_5_workers_ms,prediction_error_pct
Cab,bcrypt,3,0.5727599999999999,340.985932,102.048954,4859.47,27402.232377,0.407608,1330.036987,11.05,12037.563992000001,102.621714,341.39354,1774.0522409999999,,,213,6.244305,4.971795,19.419495,Cab - 3 workers,0.10682878229551823,8489.540444178294,8718.654395,2.6987791898538003
Cab,bcrypt,5,0.064228,387.961768,101.730757,4844.32,27867.305174999998,0.34645600000000004,1403.875277,16.1,8718.654395,101.794985,388.308224,1893.978486,,,221,6.352376,4.926331,22.233524,Cab - 5 workers,0.10682878229551823,8489.540444178294,8718.654395,2.6987791898538003
Dad,bcrypt,1,0.554102,429.466219,153.887353,5495.98,35269.68801799999,0.33495199999999997,1735.327857,4.65,37356.32461,154.441455,429.801171,2319.570483,,,271,6.403423,5.030963,26.688831,Dad - 1 workers,0.11532340404340126,10917.71173526039,9418.923719,-13.728041668473695
Dad,bcrypt,2,2.393118,416.115963,142.548273,5279.57,34309.117094999994,0.40611200000000003,1664.555894,8.87,18767.757168,144.941391,416.522075,2226.01936,,,270,6.165021,4.936946,23.81527,Dad - 2 workers,0.11532340404340126,10917.71173526039,9418.923719,-13.728041668473695
Dad,bcrypt,3,0.631081,451.9247,148.675429,5309.84,35878.326965,0.310807,1722.302159,12.25,14061.031919,149.30651,452.235507,2323.844176,,,271,6.355358,5.028086,20.354057,Dad - 3 workers,0.11532340404340126,10917.71173526039,9418.923719,-13.728041668473695
Dad,bcrypt,5,0.042936,444.798015,122.823556,5117.65,30282.363064999998,0.42357100000000003,1532.286255,16.27,9418.923719,122.866492,445.221586,2100.374333,,,249,6.15376,4.973883,21.594235,Dad - 5 workers,0.11532340404340126,10917.71173526039,9418.923719,-13.728041668473695
Ear,bcrypt,1,0.495019,549.788668,187.402131,5511.83,43353.517731,0.36148,2039.62499,4.64,43990.097333,187.89715,550.150148,2777.672288,,,333,6.124999,4.861944,26.345092,Ear - 1 workers,0.11704261282482142,12916.992210818024,13253.00485,2.6013226120904847
Ear,bcrypt,2,0.558155,555.42052,206.150565,6246.99,42772.20796,0.321904,2169.429306,9.15,23699.949608,206.70872,555.742424,2931.88045,,,332,6.534425,4.939216,46.779899,Ear - 2 workers,0.11704261282482142,12916.992210818024,13253.00485,2.6013226120904847
Ear,bcrypt,3,0.57537,537.190711,181.358218,5334.07,44008.027102,0.530841,1973.302173,12.04,16392.842194,181.933588,537.721552,2692.957313,,,334,5.90809,4.964412,20.301883,Ear - 3 workers,0.11704261282482142,12916.992210818024,13253.00485,2.6013226120904847
Ear,bcrypt,5,0.668676,564.804312,176.506411,5348.68,42984.723304,0.364479,2047.9136690000003,15.45,13253.00485,177.175087,565.168791,2790.257547,,,332,6.168414,4.808256,30.891653,Ear - 5 workers,0.11704261282482142,12916.992210818024,13253.00485,2.6013226120904847
